Feature,current_range,importance,least_optimal_range,mean_target_in_least_optimal_range,mean_target_in_optimal_range,optimal_range
Feature_38_side_chain_4_property_SpherocityIndex,"[0.0758050938877121, 0.7124087470354017]",0.0004367743716969264,"[0.5565058115706614, 0.7124087470354017]",4.963358447783922,4.963568405537864,"[0.0758050938877121, 0.23170802935245244]"
Feature_55_side_chain_6_property_TPSA,"[23.79999999999995, 136.85999999999967]",0.0004214229196715339,"[23.79999999999995, 51.488163265306]",4.945788192392019,4.981765841086475,"[109.17183673469361, 136.85999999999967]"
Feature_19_side_chain_2_property_MolWt,"[129.22699999999995, 299.45899999999966]",0.0004193837001765743,"[129.22699999999995, 170.91646938775497]",4.94787845041432,5.001787092532543,"[257.76953061224464, 299.45899999999966]"
Feature_32_side_chain_4_property_BertzCT,"[31.635472023399675, 444.5393879709584]",0.0003601102317870355,"[31.635472023399675, 132.75479837790385]",4.927903469438841,5.040180290264822,"[343.42006161645423, 444.5393879709584]"
Feature_29_side_chain_3_property_MolWt,"[117.23600000000012, 373.69399999999985]",0.00029077138085547416,"[310.8879591836734, 373.69399999999985]",4.937589978290275,4.993898425867477,"[117.23600000000012, 180.0420408163266]"
Feature_81_distance_hydrogen_5_to_oxygen_1,"[-1.0, 13.544873462411008]",0.00028111430382285913,"[9.982863634881781, 13.544873462411008]",4.960360163717114,4.963447603781816,"[-1.0, 2.5620098275292262]"
Feature_61_distance_hydrogen_1_to_oxygen_1,"[-1.0, 0.0]",0.0002643088374374908,"[-0.24489795918367352, 0.0]",4.963293835757105,4.963493415899659,"[-1.0, -0.7551020408163265]"
Feature_82_distance_hydrogen_5_to_oxygen_2,"[-1.0, 10.255515366744534]",0.00015548275869423287,"[-1.0, 1.7564527428762124]",4.963474492745235,4.964795950448307,"[7.499062623868321, 10.255515366744534]"
Feature_52_side_chain_6_property_BertzCT,"[46.52360531194096, 517.1449093644352]",0.0001229090043973996,"[46.52360531194096, 161.77780222275587]",4.956738875203694,5.000416692538062,"[401.89071245362027, 517.1449093644352]"
Feature_12_side_chain_2_property_BertzCT,"[39.9741684510371, 491.37794632908066]",0.0001222067511834183,"[39.9741684510371, 150.52203242117022]",4.956061871153993,4.997716765014333,"[380.83008235894755, 491.37794632908066]"
Feature_69_distance_hydrogen_2_to_oxygen_4,"[2.193717942682823, 7.418157362799011]",0.00011126466170829411,"[6.138702810933822, 7.418157362799011]",4.963432578306949,4.963871515713758,"[2.193717942682823, 3.473172494548012]"
Feature_36_side_chain_4_property_Eccentricity,"[0.7040681918154246, 0.9841862180908069]",9.780393085412722e-05,"[0.7040681918154246, 0.7726685247808243]",4.963484180927619,4.96350486818947,"[0.9155858851254071, 0.9841862180908069]"
Feature_66_distance_hydrogen_2_to_oxygen_1,"[1.8631096605947923, 6.036105674036397]",8.518955305767702e-05,"[5.014147466662942, 6.036105674036397]",4.963338781202792,4.96360721670516,"[1.8631096605947923, 2.8850678679682464]"
Feature_42_side_chain_5_property_BertzCT,"[21.071472803173776, 654.9540528335575]",7.403768293779671e-05,"[499.71750262203494, 654.9540528335575]",4.941238415009197,4.97667625800436,"[21.071472803173776, 176.30802301469632]"
Feature_67_distance_hydrogen_2_to_oxygen_2,"[0.0, 0.0]",0.0,"[0.0, 0.0]",4.963500930698282,4.963500930698282,"[0.0, 0.0]"
Feature_79_distance_hydrogen_4_to_oxygen_4,"[0.0, 0.0]",0.0,"[0.0, 0.0]",4.963500930698282,4.963500930698282,"[0.0, 0.0]"
