Address,Percent cyclization,Smiles
R8C5,79.05064679,CC(C)[C@@H](C(NCC(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)CC(NC(C)c1ccccc1)=O)=O)=O)N(C)C(CNC([C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](CC(OCC=C)=O)N)=O)=O)=O
R4C7,95.00959426,CC[C@H](C)[C@@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](CC(OCC=C)=O)C(N(CCC1)[C@@H]1C(N[C@@H](C)C(N[C@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R4C2,100,CC(C)[C@@H](C(N(CCC1)[C@H]1C(N[C@@H](C)C(N[C@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)NC([C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](CCC(OCC=C)=O)N)=O)=O
R3C3,100,C[C@H](C(N[C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](C)C(N(C)[C@@H](C)C(N[C@@H](CCC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(NCC(O[n]1nnc2cccnc12)=O)=O)=O)=O)=O)=O)N
R8C7,84.51972775,CC[C@H](C)[C@@H](C(N[C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](CC(OCC=C)=O)C(N(CCC1)[C@@H]1C(NCC(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)CC(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R8C2,94.35982865,CC(C)[C@@H](C(N(CCC1)[C@H]1C(NCC(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)CC(NC(C)c1ccccc1)=O)=O)=O)=O)NC([C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](CCC(OCC=C)=O)N)=O)=O
R2C3,98.71925484,C[C@H](C(N[C@@H](Cc1ccccc1)C(N[C@H](C)C(N(C)[C@@H](C)C(N[C@@H](CC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R3C8,100,CC(C)C[C@@H](C(N[C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@@H](C)C(N(C)[C@H](C)C(N[C@@H](CCC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(NCC(O[n]1nnc2cccnc12)=O)=O)=O)=O)=O)=O)N
R3C4,100,CC(C)[C@@H](C(N[C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(NCC(N(C)[C@H](C(C)C)C(N[C@@H](CCC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(NCC(O[n]1nnc2cccnc12)=O)=O)=O)=O)=O)=O)N
R2C8,98.8842323,CC(C)C[C@@H](C(N[C@@H](Cc1ccccc1)C(N[C@@H](C)C(N(C)[C@H](C)C(N[C@@H](CC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R2C4,100,CC(C)[C@@H](C(N[C@@H](Cc1ccccc1)C(NCC(N(C)[C@H](C(C)C)C(N[C@@H](CC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R3C6,100,CC(C)(C)OC([n]1c(cccc2)c2c(C[C@@H](C(N[C@H](CCC(OCC=C)=O)C(N(C)CC(N[C@@H](CCC(NC(c2ccccc2)(c2ccccc2)c2ccccc2)=O)C(NCC(O[n]2nnc3cccnc23)=O)=O)=O)=O)=O)NC(CN)=O)c1)=O
R2C6,100,CC(c1ccccc1)NC([C@H](CC(O[n]1nnc2cccnc12)=O)NC([C@H](CC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)NC(CN(C)C([C@@H](CCC(OCC=C)=O)NC([C@H](Cc1ccccc1)NC(CN)=O)=O)=O)=O)=O)=O
R3C1,100,CC(C)C[C@H](C(N[C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](CC(C)C)C(NC(C)(C)C(N[C@@H](CCC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(NCC(O[n]1nnc2cccnc12)=O)=O)=O)=O)=O)=O)N
R2C1,92.95182671,CC(C)C[C@H](C(N[C@@H](Cc1ccccc1)C(N[C@H](CC(C)C)C(NC(C)(C)C(N[C@@H](CC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R3C5,100,CC(C)[C@@H](C(N[C@@H](CCC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(NCC(O[n]1nnc2cccnc12)=O)=O)=O)N(C)C(CNC([C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](CC(OCC=C)=O)N)=O)=O)=O
R2C5,97.76146789,CC(C)[C@@H](C(N[C@@H](CC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)N(C)C(CNC([C@H](Cc1ccccc1)NC([C@@H](CC(OCC=C)=O)N)=O)=O)=O
R3C7,100,CC[C@H](C)[C@@H](C(N[C@@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)C(N[C@H](CC(OCC=C)=O)C(N(CCC1)[C@@H]1C(N[C@@H](CCC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(NCC(O[n]1nnc2cccnc12)=O)=O)=O)=O)=O)=O)N
R3C2,100,CC(C)[C@@H](C(N(CCC1)[C@H]1C(N[C@@H](CCC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(NCC(O[n]1nnc2cccnc12)=O)=O)=O)=O)NC([C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](CCC(OCC=C)=O)N)=O)=O
R2C7,100,CC[C@H](C)[C@@H](C(N[C@@H](Cc1ccccc1)C(N[C@H](CC(OCC=C)=O)C(N(CCC1)[C@@H]1C(N[C@@H](CC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R2C2,86.98247891,CC(C)[C@@H](C(N(CCC1)[C@H]1C(N[C@@H](CC(NC(c1ccccc1)(c1ccccc1)c1ccccc1)=O)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)NC([C@H](Cc1ccccc1)NC([C@@H](CCC(OCC=C)=O)N)=O)=O
